Date,Value,Code
15/01/20,622045,JOR
15/01/21,622173,JOR
15/01/22,621773,JOR
15/01/26,621918,JOR
15/02/03,622106,JOR
15/02/08,619315,JOR
15/02/09,619318,JOR
15/02/11,619102,JOR
15/02/12,619160,JOR
15/02/15,616589,JOR
15/02/16,622586,JOR
15/02/22,623060,JOR
15/02/23,623241,JOR
15/02/24,623289,JOR
15/02/25,623447,JOR
15/03/01,623908,JOR
15/03/02,623974,JOR
15/03/04,624244,JOR
15/03/05,624325,JOR
15/03/08,624513,JOR
15/03/10,624854,JOR
15/03/11,624961,JOR
15/03/12,625177,JOR
15/03/15,625598,JOR
15/03/17,626136,JOR
15/03/18,626357,JOR
15/03/22,626905,JOR
15/03/23,626932,JOR
15/03/24,627010,JOR
15/03/26,627295,JOR
15/04/08,628427,JOR
15/05/06,627287,JOR
15/05/28,628160,JOR
15/06/17,629128,JOR
15/08/13,630099,JOR
15/08/16,630224,JOR
15/08/23,629245,JOR
15/09/06,629266,JOR
15/09/17,628887,JOR
